Index,Budget 2019-2020 Revenue,Budget 2020-2021 Total,Actual 2018-2019 Capital,Budget 2019-2020 Total,Budget 2020-2021 Revenue,Actual 2018-2019 Total,_full_text,Particulars,Revised 2019-2020 Total,Actual 2018-2019 Revenue,Budget 2020-2021 Capital,Revised 2019-2020 Revenue,Budget 2019-2020 Capital,_id,Type,Revised 2019-2020 Capital
,2998.2,3209.78,45.67,3062.72,3052.23,2623.87,'157.55':12 '2578.2':2 '2623.87':4 '2670.77':8 '2717.32':10 '2998.2':5 '3052.23':11 '3062.72':7 '3209.78':13 '45.67':3 '46.55':9 '64.52':6 'gross':1,,2717.32,2578.2,157.55,2670.77,64.52,1,Gross,46.55
,-100,-100,...,-100,-100,-32.38,"'-100':4,5,8,9 '-32.38':2,3 '-50':6,7 'recoveri':1",,-50,-32.38,...,-50,...,2,Recoveries,...
,-8,-9.78,...,-8,-9.78,-5.92,"'-5.92':2,3 '-8':4,5 '-9.38':6,7 '-9.78':8,9 'receipt':1",,-9.38,-5.92,...,-9.38,...,3,Receipts,...
,2890.2,3100,45.67,2954.72,2942.45,2585.57,'157.55':12 '2539.9':2 '2585.57':4 '2611.39':8 '2657.94':10 '2890.2':5 '2942.45':11 '2954.72':7 '3100':13 '45.67':3 '46.55':9 '64.52':6 'net':1,,2657.94,2539.9,157.55,2611.39,64.52,4,Net,46.55
,,,,,,,'alloc':4 'budget':3 'given':11 'net':5 'receipt':9 'recoveri':7,"A. The Budget allocations, net of recoveries and receipts, are given below:",,,,,,5,,
,,,,,,,'centr':1 'expenditur':3,CENTRE'S EXPENDITURE,,,,,,6,,
,,,,,,,'centr':5 'establish':1 'expenditur':2,Establishment Expenditure of the Centre,,,,,,7,,
1,143,139,...,143,139,131.8,"'1':1 '131.8':3,4 '137.25':7,8 '139':9,10 '143':5,6 'secretariat':2",Secretariat,137.25,131.8,...,137.25,...,8,,...
,,,,,,,'autonom':1 'bodi':2,Autonomous Bodies,,,,,,71,,
2,,,,,,,'2':1 'attached/subordinate':2 'offic':3,Attached/Subordinate Offices,,,,,,9,,
2.01,36,37,1.43,41,36,34.31,"'0.9':11 '1':14 '1.43':5 '2.01':1 '32.88':4 '34.31':6 '34.38':10 '35.28':12 '36':7,13 '37':15 '41':9 '5':8 'offic':3 'region':2",Regional Offices,35.28,32.88,1,34.38,5,10,,0.9
2.02,9,9,...,9,9,8.5,"'2.02':1 '7.74':13,14 '8.5':9,10 '9':11,12,15,16 'afforest':3 'board':8 'develop':7 'eco':6 'eco-develop':5 'nation':2",National Afforestation and Eco-Development Board,7.74,8.5,...,7.74,...,11,,...
2.03,...,...,...,...,...,7.79,"'2.03':1 '7.79':6,7 'conserv':4 'director':5 'nation':2 'river':3",National River Conservation Directorate,...,7.79,...,...,...,12,,...
2.04,35,35.4,0.4,35.52,35,33.15,"'0.4':7,16 '0.52':10 '0.65':13 '2.04':1 '32.75':6 '33.15':8 '34':12 '34.65':14 '35':9,15 '35.4':17 '35.52':11 'forest':2 'india':5 'survey':3",Forest Survey of India,34.65,32.75,0.4,34,0.52,13,,0.65
2.05,52,67.15,3.4,65,50,53.26,'13':11 '17.15':17 '2.05':1 '3.4':8 '49.86':7 '50':16 '50.19':13 '52':10 '53.26':9 '58.19':15 '65':12 '67.15':18 '8':14 'academi':6 'forest':5 'gandhi':3 'indira':2 'nation':4,Indira Gandhi National Forest Academy,58.19,49.86,17.15,50.19,13,14,,8
2.06,17,25,5.03,23,17,20.26,"'15.23':8 '16.75':14 '17':11,17 '2.06':1 '20.26':10 '21.75':16 '23':13 '25':19 '5':15 '5.03':9 '6':12 '8':18 'colleg':7 'forest':3 'ranger':6 'servic':4 'state':2",State Forest Service and Rangers College,21.75,15.23,8,16.75,6,15,,5
2.07,14,14,...,14,14,10.73,"'10.73':6,7 '11':10,11 '14':8,9,12,13 '2.07':1 'bureau':5 'control':4 'crime':3 'wildlif':2",Wildlife Crime Control Bureau,11,10.73,...,11,...,16,,...
2.08,...,...,...,...,...,3.99,"'2.08':1 '3.99':7,8 'anim':5 'institut':3 'nation':2 'welfar':6",National Institute of Animal Welfare,...,3.99,...,...,...,17,,...
2.09,76,88,8.61,86,76,75.17,"'10':10 '12':16 '2.09':1 '66.56':6 '75.17':8 '76':9,12,15 '8.61':7 '85':14 '86':11 '88':17 '9':13 'botan':2 'india':5 'survey':3",Botanical Survey of India,85,66.56,12,76,10,18,,9
2.1,72,97,4.37,82,72,71.28,"'10':10 '2.1':1 '25':16 '4.37':7 '66.91':6 '71.28':8 '71.64':12 '72':9,15 '79.64':14 '8':13 '82':11 '97':17 'india':5 'survey':3 'zoolog':2",Zoological Survey of India,79.64,66.91,25,71.64,10,19,,8
2.11,12.5,32.5,17.59,22.5,12.5,29.5,"'10':11,14 '11.91':7 '12.5':10,13,16 '17.59':8 '2.11':1 '20':17 '22.5':12,15 '29.5':9 '32.5':18 'histori':6 'museum':3 'nation':2 'natur':5",National Museum of Natural History,22.5,11.91,20,12.5,10,20,,10
2.12,42,101,...,42,40,36.21,"'101':13 '2.12':1 '36.21':5,6 '36.4':9,10 '40':11 '42':7,8 '61':12 'green':3 'nation':2 'tribun':4",National Green Tribunal,36.4,36.21,61,36.4,...,21,,...
,365.5,506.05,40.83,420.02,361.5,384.15,'144.55':14 '343.32':4 '350.6':10 '361.5':13 '365.5':7 '384.15':6 '392.15':12 '40.83':5 '41.55':11 '420.02':9 '506.05':15 '54.52':8 'attached/subordinate':2 'offic':3 'total':1,Total- Attached/Subordinate Offices,392.15,343.32,144.55,350.6,54.52,22,,41.55
3,,,,,,,'3':1 'nation':2 'park':4 'zoolog':3,National Zoological Park,,,,,,23,,
3.01,23,36,4.84,33,23,27.85,"'10':9 '13':15 '22.8':11 '23':8,14 '23.01':5 '27.8':13 '27.85':7 '3.01':1 '33':10 '36':16 '4.84':6 '5':12 'budgetari':3 'gross':2 'support':4",Gross Budgetary Support,27.8,23.01,13,22.8,10,24,,5
3.02,-8,-9.78,...,-8,-9.78,-5.92,"'-5.92':5,6 '-8':7,8 '-9.38':9,10 '-9.78':11,12 '3.02':1 'gate':3 'less':2 'receipt':4",Less Gate Receipts,-9.38,-5.92,...,-9.38,...,25,,...
,15,26.22,4.84,25,13.22,21.93,'10':6 '13':12 '13.22':11 '13.42':8 '15':5 '17.09':2 '18.42':10 '21.93':4 '25':7 '26.22':13 '4.84':3 '5':9 'net':1,,18.42,17.09,13,13.42,10,26,Net,5
4,,,,,,,'4':1 'author':3 'nation':2,National Authority,,,,,,27,,
4.01,100,100,...,100,100,...,"'100':5,6,9,10 '4.01':1 '50':7,8 'budgetari':3 'gross':2 'support':4",Gross Budgetary Support,50,...,...,50,...,28,,...
